title,start_year,end_year,genre,summary,rating,votes,run_time,actors
Las muñecas de la mafia,2009,Ongoing,Drama,Follows the lives of five young women in Colombia and each of their ties with drug traffickers and trafficking.,6.6,246,,"Jason Chad Roth, Will Rodriguez, Amparo Grisales, Joseph Snell"
Hip-Hop Evolution,2016,Ongoing,"Documentary, Music","MC and journalist Shad Kabango meets with Hip-Hop's biggest stars to retrace how Hip-Hop became the world's most popular music, but realizes that Hip-Hop's true legacy is something much more profound.",8.4,5411,90,"Shad, LL Cool J, Alonzo Williams, Melle Mel"
Sunderland 'Til I Die,2018,Ongoing,"Documentary, Sport","Highlights the unfailing passion Sunderland residents have for their beloved football club, taking viewers through the highs and lows of SAFC's 2017-18 season in the Championship following its relegation the previous year.",8.1,7196,39,"Nick Barnes, George Honeyman, Aiden McGeady, Gary Bennett"
Son: The Guest,2018,Ongoing,"Drama, Horror, Mystery","A psychic, a Catholic priest, and a detective team up to fight crimes caused by supernatural forces.",8.2,1098,65,"Dong-wook Kim, Kim Jae-Wook, Jung Eun-chae, Park Ho-San"
Siempre Bruja,2019,Ongoing,"Drama, Fantasy",Time-traveling witch from the 17th century escapes death and finds herself in modern day Cartagena.,6.3,2191,40,"Sofía Araujo Mejía, Angely Gaviria, Sofía Araújo, Dylan Fuentes"
Karakai Jouzu no Takagi-san,2018,Ongoing,"Animation, Comedy, Romance","""If you blush, you lose"". Living by this principle, middle schooler Nishikata gets constantly made fun of by his seat neighbor Takagi-san. With his pride shattered to pieces, he vows to ...",7.7,1330,23,"Rie Takahashi, Yûki Kaji, Konomi Kohara, Mao Ichimichi"
To aru majutsu no indekkusu,2008,2019,"Animation, Action, Comedy",Index is still a fugitive and many powerful Magical organizations and individuals want to take her to use the books in her memory eliminating her in the process. War between those ...,6.9,1674,23,"Monica Rial, Micah Solusod, Alexis Tipton, Caitlin Glass"
Leila,2019,Ongoing,"Drama, Sci-Fi","In a near-future world where an oppressive regime segregates society, one woman skirts the system to search for the daughter taken from her years ago.",4.8,8306,48,"Huma Qureshi, Rahul Khanna, Siddharth, Leysha Mange"
Glitch Techs,2020,Ongoing,"Animation, Action, Adventure",Game-world monsters are wreaking real-world havoc. Here comes tech support.,7.9,869,25,"Ricardo Hurtado, Monica Ray, Dan Milano, Rachael Russakoff"
A Love So Beautiful,2020,Ongoing,"Comedy, Romance","Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",7.4,522,,"Joo-yeon So, Kim Yo-han, Hoi-Hyeon Yeo, Hye-Jo Cho"
Cooking with Paris,2021,Ongoing,Reality-TV,Paris Hilton can cook...kind of. And she’s turning the traditional cooking show upside down. She’s not a trained chef and she’s not trying to be.,,,,Paris Hilton
Medal of Honor,2018,Ongoing,"Documentary, War",A hybrid docu/live-action anthology series that portrays stories of personal sacrifice that resulted in the highest military distinction: the Medal of Honor.,8.4,1510,60,"Josh Charles, Daniel Rodriguez, David Petraeus, Jake Abel"
Married to Medicine,2013,Ongoing,Reality-TV,"The ladies of Atlanta's exclusive medical inner circle return with more patients, less patience and a few heart palpitations along the way.",5.2,332,43,"Jacqueline Walters, Simone Whitmore, Toya Bush-Harris, Quad Webb"
Al Hayba,2017,Ongoing,"Action, Romance","Al Hayba"" an area located on the borders between Syria and Lebanon, Jabal (a young strong-willed man) and his clan, Sheikh El Jabal, controls arms trading and smuggling at the borders. ...",7.4,982,45,"Taim Hasan, Nadine Nassib Njeim, Mona Wassef, Oweiss Mkhallalati"
Ailiseu,2009,2013,"Action, Mystery, Romance","The National Security Service (NSS) is a secret South Korean black ops agency that takes on a secret terrorist organization, called IRIS.",7.9,1810,60,"Yeong-cheol Kim, Yun Ju-sang, Seung-woo Kim, Lee Jeong-kil"
Suzumiya Haruhi no yûutsu,2006,2009,"Animation, Comedy, Fantasy","The crazy adventures of the SOS Brigade, led by the insane but charismatic Haruhi.",7.8,7848,24,"Tomokazu Sugita, Aya Hirano, Minori Chihara, Yûko Gotô"
Kid Cosmic,2021,Ongoing,"Animation, Action, Adventure","A young boy who dreams of becoming a hero, stumbles across some cosmic stones of power. His dreams appear to have come true.",8.0,787,25,"Tom Kenny, Amanda Céline Miller, Keith Ferguson, Lily Rose Silver"
El Reino,2021,Ongoing,"Crime, Drama","After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems.",,,,"Victoria Almeida, Patricio Aramburu, Chino Darín, Nancy Dupláa"
Kadokyaputa Sakura,1998,2000,"Animation, Action, Adventure","Sakura stumbled upon the book of Clow Cards in a library. Accidentally setting the magical cards loose, it's now up to Sakura to catch them all with her best friend Tomoyo, and Kerberos, the guardian of the cards.",8.0,4613,30,"Sakura Tange, Huyen Chi, Andrea Kwan, Junko Iwao"
Neo Yokio,2017,2018,"Animation, Action, Adventure","Mourning the death of a recent relationship, an elegant and fashionable demon hunter struggles to stay afloat in the elite society of Neo Yokio.",5.9,3171,23,"Jude Law, Jaden Smith, Susan Sarandon, The Kid Mero"
Gekkan Shojo Nozaki-kun,2014,Ongoing,"Animation, Comedy, Romance","High school student Chiyo Sakura has a crush on schoolmate Umetarou Nozaki, but when she confesses her love to him, he mistakes her for a fan and gives her an autograph. When she says that ...",7.6,2870,24,"Yûichi Nakamura, Ari Ozawa, Christina Marie Kelly, Ty Mahany"
Malibu Rescue,2019,Ongoing,"Action, Comedy, Family",A ragtag group of aspiring junior lifeguards from The Valley compete against the snobby local kids for bragging rights and the ultimate tower at Malibu beach.,5.5,848,,"Ricardo Hurtado, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson"
Yungnyong-i Nareusya,2015,2016,"Drama, History","Story of the the foundation of the Joseon Dynasty in Korea and ambition, success and fall of several real and fictional characters.",8.9,803,,"Yoo Ah-in, Yo-Han Byun, Myung-Min Kim, Shin Se-Kyung"
Roku de nashi majutsu kôshi to akashic records,2017,Ongoing,"Animation, Action, Comedy","The Alzano Empire is home to one of the most distinguished magic schools in the world: the Alzano Imperial Magic Academy. Here, ambitious young students undergo training to become competent...",7.1,1557,24,"Josh Grelle, Morgan Laure, Rachael Messer, Monica Rial"
Bee and PuppyCat,2013,Ongoing,"Animation, Short, Action","Bee, an unemployed woman is living a normal life, until a grumpy companion named PuppyCat arrives. Follow Bee and and PuppyCat as they travel between reality and ""Fishbowl Space"".",8.2,1555,7,"Allyn Rachel, Kent Osborne, Alexander James Rodriguez, Ashly Burch"
The Magic School Bus Rides Again,2017,2021,"Animation, Adventure, Family",Ms. Frizzle and her class along with an inventive high-tech bus that invites children on high-flying hijinks that introduce the incredible world of science.,6.2,719,26,"Mikaela Blake, Gabby Clarke, Birva Pandya, Kate McKinnon"
Hyena,2020,Ongoing,"Drama, Romance","'Hyena' deals with very competitive, private lawyers who only work for the richest 1% of society.",7.8,598,60,"Ju Ji-Hoon, Kim Hye-su, Lee Kyung-young, Jun Suk-ho"
Middleditch & Schwartz,2020,Ongoing,Comedy,"Thomas Middleditch (""Silicon Valley"") and Ben Schwartz (""Parks and Recreation"") perform two-person long-form improv.",8.6,4251,51,"Thomas Middleditch, Ben Schwartz"
Craig Ross Jr.'s Monogamy,2018,Ongoing,Drama,Four couples from all over the country travel to Los Angeles to undergo a new type of treatment called Swap Therapy to repair their broken marriages.,7.2,321,30,"Jill Marie Jones, Vanessa Simmons, Darius McCrary, Caryn Ward"
Girls Hostel,2018,Ongoing,"Comedy, Drama","Imagine a night in with 4 girls. Now imagine doing that for 4 years. In a building full of girls that is a Girl's Hostel. Live the Dushmani, the Dosti, the Pyaar, the Bhasad.",8.1,3566,23,"Srishti Shrivastava, Parul Gulati, Ahsaas Channa, Simran Natekar"
Zbrodnia,2014,Ongoing,"Action, Crime",The peaceful lives of the residents inhabiting a seaside town are shaken following a series of macabre crimes.,6.2,558,60,"Magdalena Boczarska, Wojciech Cyplik, Dorota Kolak, Joanna Kulig"
Vampires,2020,Ongoing,"Drama, Fantasy, Horror","A Parisian teenager who is half human, half vampire grapples with her emerging powers, and family turmoil as she is pursued by a secret vampire community.",5.6,1081,39,"Kate Moran, Mounir Amamra, Juliette Cardinski, Pierre Lottin"
La Reina de Indias y el Conquistador,2020,Ongoing,"Drama, History","This is the story of Catalina, the indigenous woman who gave away her soul, her heart and her life to a conqueror. ""The Queen and the Conqueror"" rebuilds one of the first love stories that ...",6.7,135,50,"Emmanuel Esparza, Essined Aponte, Manuel Navarro, Álvaro Benet"
The Platform,2020,Ongoing,Drama,A War sparks with a piece of information. The programmer genius Karam El Sayed eventful youth has left him in disbelief of people and their view of the truth. To ensure the accuracy of ...,7.0,239,45,"Maxim Khalil, Khaled Alkeesh, Abdulmohsen Alnemr, Khaled El Sayed"
Super Why!,2007,2016,"Animation, Family","Super why is a great adventure to get kids to ""look in a book!"" Wyatt and his pals usually have to solve a problem by looking into a story and solving a puzzle. My infant son loves this ...",6.1,693,30,"Siera Florindo, Tajja Isen, Zachary Bloch, Nicholas Castel Vanderburgh"
Danger Mouse,2015,2019,"Animation, Action, Adventure",The continuing adventures of secret agent Danger Mouse and his sidekick Penfold.,7.1,499,22,"Alexander Armstrong, Kevin Eldon, Dave Lamb, Stephen Fry"
The Healing Powers of Dude,2020,Ongoing,"Short, Action, Adventure","Noah, an 11-year-old boy with social anxiety disorder, has to start middle school, he turns to a mutt named Dude, a sarcastic emotional support dog who might need Noah as much as Noah needs him.",6.6,735,25,"Jace Chapman, Larisa Oleynik, Mauricio Lara, Sophie Kim"
13 Geboden,2017,2018,"Crime, Mystery, Thriller",A serial killer reverts to the 10 commandments in order to kick society a conscience with his crimes.,7.0,2093,46,"Dirk van Dijck, Marie Vinck, Karlijn Sileghem, Line Pillet"
The Titan Games,2019,Ongoing,Reality-TV,"Dwayne Johnson presents and stars in ""The Titan Games,"" a groundbreaking new athletic competition based on Dwayne's belief that within each and every one of us is the potential for greatness.",7.0,3261,60,"Dwayne Johnson, Cari Champion, Ben Afuvai, Kim Rosen"
Transformers: Robots in Disguise,2014,2020,"Animation, Action, Adventure","When a new army of Decepticons appear, Bumblebee must lead a new team of Autobots to Earth against their eternal foes.",5.9,930,22,"Khary Payton, Mitchell Whitfield, Will Friedle, Constance Zimmer"
The Holiday Movies that Made Us,2020,Ongoing,"Documentary, Family","Unwrap the real stories behind these iconic Christmas blockbusters, thanks to insider interviews and behind-the-scenes peeks.",7.1,725,44,"Phe Caplan, David Berenbaum, Ian Nathan, Jon Berg"
Annyeong? Naya!,2021,Ongoing,"Comedy, Fantasy, Romance","Miserable and unsuccessful, a woman thinks she's lost all her spark, until one day, her spunky younger self appears in front of her demanding change.",7.2,344,65,"Kang-hee Choi, Kim Young-kwang, Re Lee, Eum Moon Suk"
Well-Intended Love,2019,2020,"Drama, Romance",A third-rate actress with leukemia got married to the powerful CEO of a company because she needs him to receive a bone marrow transplant so she can continue her career.,7.3,1184,45,"Xu Kai Cheng, Liu Jia Xi, Huang Qian Shuo, Wang Shuang"
"Hi Bye, Mama!",2020,Ongoing,"Comedy, Drama, Fantasy",It's the story of a mother who died and begins a 49-day long project of reincarnation and a husband who has barely begun to live a new life after overcoming the pain of losing his wife.,8.0,1215,70,"Kim Tae-hee, Kyoo-hyung Lee, Ko Bo-Gyeol, Seo Woo-Jin"
Nicky Jam: El Ganador,2018,Ongoing,"Biography, Music","A look at the life and career of the Latin music superstar, Nicky Jam.",7.8,1030,45,"Nicky Jam, Jose Caro, Darkiel, Avery Rodríguez"
Gakusen toshi asterisk,2015,Ongoing,"Animation, Action, Comedy","The Academy City on the water, Rikka (also known as Asterisk) is the world's largest stage for the integrated battle entertainment, ""Star Wars Festival."" The young boys and girls of the ""...",6.9,1696,23,"Atsushi Tamaru, Ai Kakuma, Kira Buckland, Erik Scott Kimerer"
"Go, Dog. Go!",2021,Ongoing,Animation,"Young pup Tag Barker and her adventures in Pawston, a colorful community of dogs on the go.",7.4,126,,"Michela Luci, Callum Shoniker, Lyon Smith, Linda Ballantyne"
Thus Spoke Kishibe Rohan,2017,2021,"Animation, Action, Adventure",A popular manga creator becomes enmeshed in paranormal events while conducting research.,7.7,673,24,"Landon McDonald, Bob Carter, Brittany Cox, Skyler Davenport"
The Pentaverate,2022,Ongoing,Comedy,An unlikely Canadian journalist finds himself embroiled in a mission to uncover the truth and just possibly save the world himself.,,,,"Mark Denham, Tony McCarthy, Daniel Booroff, Nicklas Kingo"
Real Rob,2015,Ongoing,Comedy,Centers around comedian Rob Schneider's real life while living in Hollywood.,6.4,2650,30,"Rob Schneider, Patricia Maya Schneider, Jamie Lissow, Miranda Scarlett Schneider"
Uisa Yohan,2019,Ongoing,"Drama, Mystery, Romance","In a refreshing take on the genre, ""Doctor John"" will portray the doctors' search for the cause of their patients' mysterious pain as a thrilling chase, almost like a detective hunting down the perpetrator behind an unsolved crime.",8.2,857,35,"Seong Ji, Se-yeong Lee, Hwang Hee, Min-a Jeong"
Abstract: The Art of Design,2017,Ongoing,Documentary,"A look beyond blueprints and computers into the art and science of design, showcasing great designers from every discipline whose work shapes our world.",8.4,5046,45,"Platon, Cas Holman, Ian Spalter, Elisabeth Biondi"
Queen Sono,2020,2021,"Action, Crime, Drama",A drama about a secret agent who fights crime while dealing with crises in her personal life.,6.0,1093,43,"Pearl Thusi, Vuyo Dabula, Sechaba Morojele, Chi Mhende"
"Fresh, Fried and Crispy",2021,Ongoing,Reality-TV,"Passionate about food and ready for fun, critic Daym Drops drops in on America's smokin' hot spots for the best, freshest takes on fried food.",6.3,417,,"Daym Drops, Sonya Beckham, Teresa Cottrell, Nancy Faidley-Devine"
Betty en NY,2019,Ongoing,Comedy,"The show centers on Beatriz Aurora Rincon Lozano, a young climber who takes a job at V&M Fashion as secretary to the company president.",7.7,477,60,"Elyfer Torres, Erick Elias, Amaranta Ruiz, Sabrina Seara"
Instant Hotel,2017,Ongoing,Reality-TV,"A reality television series which began airing on the Seven Network, Australia and now a Netflix original series. The series follows homeowners who have transformed their homes into hotels ...",7.3,1328,45,"Juliet Ashworth, Luke Jacobz, Terry Brouwers, Anita Bocquee"
Diagnosis,2019,Ongoing,Documentary,Medical docuseries focusing on patients with unique illnesses and their journeys to find a diagnosis and cure.,7.8,975,,"Hugh Calkins, Crystal Lee, Matt Lee, Lisa Sanders"
Last Chance U: Basketball,2021,Ongoing,"Documentary, Sport",Explore an honest and gritty look inside the world of community college basketball.,8.4,1950,,
Yeowoogakshibyeol,2018,Ongoing,"Drama, Romance",Two people overcome ups and downs in their lives to find true romance and make dreams come true at Incheon International Airport.,7.1,617,35,"Lee Jehoon, Chae Soo-bin, Dong-geon Lee, Kim Ji-Soo"
Yeolhyeolsaje,2019,Ongoing,"Action, Comedy, Crime",A drama about a Catholic priest with anger management issues and a detective from the Gudam Police Station who meet during their joint investigation into the murder of an elderly priest.,8.2,585,35,"Nam-gil Kim, Seong-gyoon Kim, Lee Hanee, Sung-woo Jeon"
The Adventures of Puss in Boots,2015,2018,"Animation, Action, Adventure","The famous cat protects the city of San Lorenzo, a mythical land invisible to the outside world.",6.7,1491,23,"Eric Bauza, Jayma Mays, Grey Griffin, Paul Rugg"
Super Wings!,2015,Ongoing,"Animation, Adventure, Family",A jet plane named Jett travels the world delivering packages to children and solving problems with his friends the Super Wings.,6.1,287,15,"Luca Padovan, Hudson Loverro, Chasden Gilson-Walker, Jamie Sara Lewis"
Criminal: Germany,2019,Ongoing,"Crime, Drama, Mystery","In the interview room, detectives go head-to-head with suspects and try to get to the truth - even if it means breaking the rules and risking it all.",7.7,4577,59,"Eva Meckbach, Sylvester Groth, Florence Kasumba, Christian Kuchenbuch"
Top Secret UFO Projects: Declassified,2021,Ongoing,Documentary,"Through claims of extraterrestrial encounters have long been dismissed, many believe the existence of UFOs is not just likely, but a certainty.",5.7,78,,"Stephen Bassett, Merrill Cook, Caroline Cory, Richard Dolan"
Accidentally in Love,2018,Ongoing,"Music, Romance","A popular singer decides to go back to school, becoming the center of attention there, and meets an ordinary female student with a dual personality.",7.6,933,30,"Junchen Guo, Yi Ning Sun, Yiqin Zhao"
Hyperdrive,2019,Ongoing,Reality-TV,Tournament series where drivers from around the world compete on one of the largest automotive obstacle courses ever made.,8.0,2371,29,"Stacey-Lee May, Michael Bisping, Lindsay Czarniak, Rutledge Wood"
Hasmukh,2020,Ongoing,"Comedy, Crime","A timid, small-town comedian's long-awaited big break takes a dark turn when he realizes committing murder is the only way to keep his onstage mojo.",5.3,2479,34,"Vir Das, Ranvir Shorey, Amrita Bagchi, Ravi Kishan"
Wir sind die Welle,2019,Ongoing,Drama,A new version of Rhue's novel in which a group of teenagers who start a youth movement which develops a dangerous momentum.,6.2,2389,50,"Ludwig Simon, Luise Befort, Michelle Barthel, Mohamed Issa"
Archibald's Next Big Thing,2019,2020,"Animation, Adventure, Comedy",The adventures of a care-free Chicken named Archibald.,7.8,241,24,"Tony Hale, Rosamund Pike, Kari Wahlgren, Chelsea Kane"
Watashi ga Motete Dousunda,2016,Ongoing,"Animation, Comedy, Drama","Kae Serinuma is a second year high school student and an avid fujoshi who secretly ships her classmates, Igarashi and Nanashima. The death of her favorite anime character causes her to ...",6.6,919,23,"Justin Briner, Amber Lee Connors, Orion Pitts, Alejandro Saab"
Superstition,2017,2018,"Drama, Fantasy, Horror","The supernatural drama centers around the Hastings family, owners of the only funeral home in the mysterious town of La Rochelle, Georgia. The family also acts as the keepers of the town's dark secrets and history.",5.2,1779,45,"Brad James, Morgana Van Peebles, Robinne Lee, Demetria McKinney"
Cheongchunsidae,2016,2017,"Comedy, Drama, Romance","5 college students, from different walks of life end up living together in a fictional house share called Belle Epoque",8.3,1861,60,"Yeri Han, Seung-Yeon Han, Eun-bin Park, Hwa-young Ryu"
Boca a Boca,2020,Ongoing,"Drama, Mystery, Thriller","In a Brazilian cattle-ranching town, adolescents panic when they're threatened by the outbreak of a contagious infection transmitted by kissing.",6.4,674,,"Caio Horowicz, Iza Moreira, Michel Joelsas, Denise Fraga"
V.R. Troopers,1994,1996,"Action, Adventure, Family","A trio of teenagers gain powers from ""Virtual Reality"" to fight the evil forces of Grimlord.",5.8,971,30,"Michael Hollander, Michael Sorich, David Carr, Gardner Baldwin"
Prank Encounters,2019,Ongoing,"Comedy, Horror, Reality-TV",takes two complete strangers who each think they're starting their first day at a new job. It's business as usual until their paths collide and these part-time jobs turn into full-time nightmares.,5.2,2458,24,"David Storrs, Gaten Matarazzo, Peter Giles, Henry Dittman"
The Disastrous Life of Saiki K.: Reawakened,2019,Ongoing,"Animation, Comedy","Kusuo and his gaggle of self-proclaimed friends are back for more psychic mishaps. If he didn't have enough problems before, he's got even more now.",7.9,1138,,"Hiroshi Kamiya, Ai Kayano, Jon Bailey, Jalen K. Cassell"
Numberblocks,2017,Ongoing,Animation,"Learning numbers and how to count with colourful personified blocks, each with their own quirks.",8.1,134,5,"Beth Chalmers, Teresa Gallagher, David Holt, Marcel McCalla"
Floor Is Lava,2020,Ongoing,"Game-Show, Reality-TV","Teams compete to navigate rooms flooded with lava by leaping from chairs, hanging from curtains and swinging from chandeliers.",5.3,1897,38,"Rutledge Wood, Janine Hogan, Todd Leykamp, Alyssa Sabo"
"Gwaenchanhah, Sarangiya",2014,Ongoing,"Comedy, Drama, Romance",A love story between a psychiatrist named Ji Hae Soo and an author who had schizophrenia named Jang Jae Yeol.,8.3,3454,60,"Dong-il Sung, Kwang-Soo Lee, Jin Kyung, Kyung-soo Do"
Fate/Grand Order: Zettai Maju Sensen Babylonia,2016,2021,"Animation, Action, Drama",Chaldea agents Ritsuka Fujimnaru and Mash Kyrielight travel to Babylon and encounter the heroes and gods of that realm.,7.3,526,,"Nobunaga Shimazaki, Rie Takahashi, Kenichi Suzumura, Ayako Kawasumi"
Diamond City,2020,Ongoing,"Crime, Drama","A prominent prosecuting attorney must defend her innocence when she's set up and sent to prison as she investigates a conspiracy. Once a prosecutor, now a prisoner, she's having to learn the hard way how the system can fail.",7.1,14,,"Nambitha Ben-Mazwi, Ilse Klink, Lehlohonolo Makoko, Makgano Mamabolo"
Ultimate Beastmaster,2017,2018,"Game-Show, Reality-TV","Eighteen competitors from six countries compete against each other in an intense obstacle course for cash prizes, individual glory and national pride.",7.3,2242,55,"Tiki Barber, Rafinha Bastos, Luis Ernesto Franco, Inés Sainz"
World's Most Wanted,2020,Ongoing,"Documentary, Crime",Heinous criminals have avoided capture despite massive rewards and global investigations. This docuseries profiles five of the world's most wanted.,7.2,2067,,"Jennifer Julian, Thomas Fuentes, Calogero Germaná, David Lorino"
Ôkami to kôshinryô,2008,2009,"Animation, Adventure, Fantasy","Kraft Lawrence goes from town to town to make profits as a travelling merchant, with the help of a wolf deity by the name of Holo.",8.0,3959,24,"Jun Fukuyama, Ami Koshimizu, Brina Palencia, J. Michael Tatum"
7Seeds,2019,2020,"Animation, Action, Adventure","In the immediate future, a giant meteorite has collided with earth. All living organisms, including mankind, have been wiped off the face of the planet. The government, who had foreseen ...",6.4,1155,25,"Scott Gibbs, Alejandro Saab, Jad Saxton, Amber Lee Connors"
The Netflix Afterparty,2020,Ongoing,Talk-Show,"David Spade, Fortune Feimster and London Hughes welcome cast members, creators and comics from Netflix's most buzz-worthy series, specials and movies.",3.7,431,,"Fortune Feimster, Kevin Hart, London Hughes, Rick Ingraham"
Maya and the Three,2021,Ongoing,"Animation, Action, Adventure",A Mesoamerican warrior princess embarks on a quest to recruit three legendary fighters to help save the world of gods and humankind.,,,,"Sandra Equihua, Jorge R. Gutiérrez, Jeff Ranjo"
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu,2020,Ongoing,"Animation, Action, Adventure","Honjou Kaede is invited by her friend Shiramine Risa to play a virtual reality MMO game with her. While Kaede doesn't dislike games, what she really, truly dislikes is being in pain.",7.5,996,23,"Jad Saxton, Megan Shipman, Anthony Bowling, Tia Lynn Ballard"
Go Go Squid!,2019,Ongoing,"Drama, Romance",This is a sweet love story about how a straight-A girl student with high IQ pursues a former prince charming as well as an inspirational story about a hero who comes back to regain dream ...,8.0,768,45,"Xian Li, Zi Yang, Mingde Li, Yifan Wen"
My Next Guest Needs No Introduction with David Letterman,2018,Ongoing,Talk-Show,Comedian David Letterman interviews people he finds fascinating.,7.9,4945,60,"David Letterman, Kim Kardashian, George Clooney, Tina Fey"
God Eater,2015,Ongoing,"Animation, Action, Sci-Fi","The year 2071, the Earth has been devastated by mysterious monsters that devour living creatures and are impervious to weapons. An organization called Fenrir is the only one with weapons capable of killing the monsters.",7.0,1696,24,"Tomohisa Asô, Kira Buckland, Robbie Daymond, Dorah Fine"
Grizzy and the Lemmings,2007,Ongoing,"Animation, Comedy, Family","The forest ranger's house is the only area of human civilization in the middle of untamed wilderness in a vast natural reserve in Canada. When the ranger is away, a bear named Grizzy feels ...",7.0,445,7,"Pierre-Alain de Garrigues, Josselin Charier"
True and the Rainbow Kingdom,2017,Ongoing,"Animation, Short, Adventure",Fearless eight-year old guardian True uses wishes from the Wishing Tree to help protect the citizens of the colorful land of the Rainbow Kingdom.,7.1,395,22,"Michela Luci, Nicolas Aqui, Jamie Watson, Eric Peterson"
Rotten,2018,2019,Documentary,"Rotten dives deep into the food production underworld to expose the corruption, waste and real dangers behind your everyday eating habits.",7.2,3330,55,"Latif Nasser, Casey Cox, Stanley Crawford, Leslie Lopatofsky"
Ugly Delicious,2018,Ongoing,Documentary,Chef David Chang travels around the world tasting food from different cultures.,7.8,3268,50,"David Chang, Peter Meehan, Aziz Ansari, Rene Redzepi"
Dakteo Peurijeuneo,2019,Ongoing,"Drama, Mystery, Thriller","Doctor Prisoner centers around an ace doctor in a university hospital's emergency care center, a skilled professional who treats his patients with full devotion and without discrimination. ...",7.8,446,35,"Byeong-cheol Kim, Min Namkoong, Nara, Choi Wonyoung"
Use for My Talent,2021,Ongoing,"Comedy, Drama, Romance","Gu Ren Qi has a closed up personality and mysophobia. Shuang lost her mother in a car accident, and became a lonely person. The two became closer as they get to know each other, later they began to heal from their wounds.",7.1,103,45,"Su Meng Di, Dai Yun Fan, Charles Lin, Jasper Liu"
Trailer Park Boys: Out of the Park,2016,Ongoing,"Adventure, Comedy, Crime","Ricky, Julian, and Bubbles go to Europe for a paid vacation and realize when they get there they have to complete tasks in different countries to earn money to party.",6.7,2144,30,"John Paul Tremblay, Robb Wells, Mike Smith, Tom Mayhue"
Beat Bugs,2016,2018,"Animation, Short, Adventure","Beat Bugs is an animated series, revolving around the lives and adventures of five charming and funny child-like bugs who live in an overgrown American-style backyard.",7.6,491,24,"Charles Demers, Rebecca Husain, Lili Beaudoin, Ashleigh Ball"
Find Me in Your Memory,2020,Ongoing,"Fantasy, Mystery, Romance",A love story between a man who remembers every second of his life and a woman who forgot her painful past.,7.4,492,35,"Dong-wook Kim, Moon Ga-young, Seul-gi Kim, Jong-Hoon Yoon"
The Unlisted,2019,Ongoing,"Family, Sci-Fi, Thriller",Twelve-year-old identical twins Dru and Kal discover that the government is secretly tracking and manipulating Australia's youth via electronic tracking devices.,6.7,698,22,"Vrund Rao, Ved Rao, Abigail Adriano, Miah Madden"
The American Barbecue Showdown,2020,Ongoing,Reality-TV,Food competition that follows the country's best backyard smokers and competitive barbecuers as they compete for the title of American Barbecue Champion.,7.2,957,,"Kevin Bludso, Melissa Cookston, Lyric Lewis, Rutledge Wood"
Sword Art Online Alternative: Gun Gale Online,2018,Ongoing,"Animation, Action, Adventure","Karen Kohiruimaki always felt out of place in the real world. Due to her extreme height, she found it hard to make friends with other girls her age. Everything changes when she's introduced...",6.9,1847,24,"Tomori Kusunoki, Yôko Hikasa, Kazuyuki Okitsu, Morgan Berry"
Loaded,2017,Ongoing,"Comedy, Drama","Four friends who become multi-millionaires when they sell their video game company for a clean £246 million and overnight, the four friends are transformed from ""people who play games"" to ""serious players in the game..."" - or are they?",6.6,1294,41,"Jim Howick, Samuel Anderson, Nick Helm, Jonny Sweet"
On the Verge,2021,Ongoing,Comedy,A look a life for a group of women in their forties.,,,,"Julie Delpy, Sarah Jones, Alexia Landeau, Elisabeth Shue"
The Final Table,2018,Ongoing,Reality-TV,Teams of chefs vie to impress some of the world's toughest palates as they whip up iconic dishes from different nations in this reality cooking competition.,7.7,3574,60,"Andrew Knowlton, Monique Fiso, Mark Best, Shane Osborn"
Dawn of the Croods,2015,2017,"Animation, Short, Adventure","Eep, Grug, Thunk, Ugga, Sandy and Gran are back. Follow them as they meet new friends, outrun new creatures and encounter ""firsts"" the world has never seen - such as school, slumber parties, hiccups and elections.",6.0,595,23,"Dan Milano, A.J. LoCascio, Laraine Newman, Cree Summer"
Kidô Senshi Gundam Unicorn,2010,2014,"Animation, Action, Drama","A conspiracy around Laplace's Box is potentially going to start another war between the Earth Federation and Neo Zeon. Chosen by fate, Banagher Links gets the key to the box, and must follow his heart to decide what to do with it.",7.8,1145,,"Troy Baker, J. David Brimmer, Wayne Grayson, Dan Green"
MeatEater,2012,Ongoing,Documentary,A man travels around the vast wilderness hunting various animals. He hunts everything from birds to bears. Once the animal is bagged he demonstrates how to process the game and cook it.,7.7,1247,21,"Steven Rinella, Joe Rogan, Bryan Callen, Remi Warren"
Love and Redemption,2020,Ongoing,"Action, Drama, Fantasy","Because of an intricate plot, Zhu Xuan Ji of Xiu Luo Tribe reincarnates into a human and became the daughter of the sect leader of Shao Yang Sect. In this lifetime, Xuan Ji loses all her ...",8.6,356,,"Wang Bin, Yu Bin, Zhou Yi Dan, Ma Jing Han"
Spellbinder,1995,Ongoing,"Adventure, Family, Fantasy","When a prank at a school camp goes drastically wrong, 15-year-old Paul Reynolds is blasted into an alternative reality and has to try to find a way home.",8.2,1981,24,"Zbych Trofimiuk, Gosia Piotrowska, Brian Rooney, Michela Noonan"
